motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
path3,0.16,0.95,3.1622776601683795,1.6452870905253138e-05,5.20285461093163e-05,3,94,3.604039006567274e-13,1.1002839264695474e-12,-1.8571082172069708e-14,0.005139961742643706,0.00037085341003061556,0.951840268524803
triangle,0.16,0.95,3.1622776601683795,1.649647618061286e-05,5.2166438097451845e-05,3,127,2.8047430518491538e-11,1.0033550596269536e-12,-2.960715906382555e-11,0.007710505342167554,0.00037183628810849177,0.9518402685246804
path4,0.16,0.95,3.1622776601683795,2.2432765997780533e-05,7.09386347705662e-05,4,679,4.0871477800057376e-11,-1.9636680519477534e-12,-4.152313486539133e-11,0.005567041453437871,0.0005056423171722877,0.9518402685246441
star4,0.16,0.95,3.1622776601683795,3.290983852626373e-05,0.00010407004717135246,4,740,6.826511572342027e-11,-2.193208180172046e-12,6.733339851395376e-11,0.005075809699479588,0.0007417991616056502,0.9518402685246374
square,0.16,0.95,3.1622776601683795,4.330612782149486e-05,0.00013694600055830952,4,842,4.2680901119614244e-11,-1.332074424723051e-12,4.2323227171167654e-11,0.006807215717553727,0.000976135123950281,0.9518402685246559
single,0.16,0.95,10.0,0.0,0.0,1,3,6.572845479352398e-14,-1.474514954580286e-16,0.0,0.0,0.0,0.984251968503937
pair,0.16,0.95,10.0,0.0,0.0,2,10,8.089004517483705e-14,1.3683498778505054e-14,0.0,0.0004870404702353702,0.0,0.9842519685039376
path3,0.16,0.95,10.0,6.298902191324049e-07,6.2989021913240485e-06,3,94,2.446336656890219e-13,7.381161112006429e-13,8.710653183995054e-13,0.0006204744677761262,1.4197943747695145e-05,0.9842519685039542
triangle,0.16,0.95,10.0,6.319061025671145e-07,6.3190610256711454e-06,3,127,3.396538023526108e-11,5.28103785474212e-13,-1.4534222688767674e-12,0.00093070124349522,1.4243382467494222e-05,0.9842519685039354
path4,0.16,0.95,10.0,9.137093507900419e-07,9.137093507900418e-06,4,679,7.180362726957224e-11,-6.337083771146626e-13,1.3374697169546944e-11,0.0006881380172108374,2.0595325315943378e-05,0.9842519685039277
star4,0.16,0.95,10.0,1.3609848551906324e-06,1.3609848551906324e-05,4,740,1.0835270133394376e-10,-7.294135998328621e-13,1.0825923783732566e-10,0.0006674723200337263,3.067707013652136e-05,0.9842519685039278
square,0.16,0.95,10.0,1.806884736022127e-06,1.806884736022127e-05,4,842,6.102555741505286e-11,-2.8605507448441897e-13,-5.7069466380811444e-11,0.0008904957993033631,4.072780792508261e-05,0.9842519685039284
single,0.16,0.95,31.622776601683793,0.0,0.0,1,3,2.8716238509139056e-14,-1.2880321809127793e-16,-2.842170943040401e-14,0.0,0.0,0.9949658268688985
pair,0.16,0.95,31.622776601683793,0.0,0.0,2,10,4.6766608681211006e-14,-4.7128967395337895e-14,-1.4210854715202004e-13,5.002730129581826e-05,0.0,0.9949658268688977
path3,0.16,0.95,31.622776601683793,2.1154609481170378e-08,6.689674897189127e-07,3,94,4.236456737466269e-14,1.2672902413883233e-13,-6.275694211261423e-15,6.573330019166925e-05,4.7683222597547246e-07,0.9949658268688998
triangle,0.16,0.95,31.622776601683793,2.1255584643576002e-08,6.721606047219845e-07,3,127,6.742883455274604e-11,-9.015293335329897e-13,-6.669040368180451e-11,9.859835549068407e-05,4.791082419843169e-07,0.9949658268688963
path4,0.16,0.95,31.622776601683793,3.138567201837495e-08,9.925020947307891e-07,4,679,4.589322038731863e-11,3.7531620606517935e-13,-4.6027176753109245e-11,7.35968464349017e-05,7.074439197866675e-07,0.9949658268688993
star4,0.16,0.95,31.622776601683793,4.6974346378027686e-08,1.4854592615224837e-06,4,740,2.614142914882201e-11,3.4962769577271194e-13,-2.5944283796785952e-11,7.28807461535798e-05,1.0588180401700695e-06,0.9949658268688993
square,0.16,0.95,31.622776601683793,6.254685264897517e-08,1.9779051484569757e-06,4,842,1.190147500082486e-10,8.990566944351228e-15,-1.1851325700497285e-10,9.718017775229882e-05,1.4098277258228397e-06,0.9949658268689006
single,0.16,0.95,100.0,0.0,0.0,1,3,9.540168660319986e-15,3.3944201616176173e-15,7.105427357601002e-15,0.0,0.0,0.9984025559105432
pair,0.16,0.95,100.0,0.0,0.0,2,10,2.2505428270982392e-14,1.529332216421153e-14,-7.105427357601002e-15,4.969226482243617e-06,0.0,0.9984025559105433
path3,0.16,0.95,100.0,6.748313454993682e-10,6.748313454993682e-08,3,94,3.2612174937584157e-14,-1.01827139050799e-13,-1.1786986175663252e-13,6.594817621024647e-06,1.5210932422075457e-08,0.9984025559105432
triangle,0.16,0.95,100.0,6.813762845283888e-10,6.813762845283889e-08,3,127,2.2114119839529286e-11,1.208359113105605e-14,-6.025919839444089e-12,9.892074579507849e-06,1.535845805810405e-08,0.9984025559105417
path4,0.16,0.95,100.0,1.0087055756101946e-09,1.0087055756101945e-07,4,679,2.937799367852617e-11,-1.1219421955537055e-13,2.9218565823411715e-11,7.407721011222993e-06,2.2736573248837485e-08,0.9984025559105426
star4,0.16,0.95,100.0,1.5119893742820871e-09,1.511989374282087e-07,4,740,6.194030258343445e-11,-1.085585395499579e-12,6.143440379021686e-11,7.384722365755367e-06,3.408076475316284e-08,0.9984025559105429
square,0.16,0.95,100.0,2.0151121424412343e-09,2.0151121424412344e-07,4,842,4.675745660482845e-11,-6.880103691201989e-13,-4.716283435834895e-11,9.846355432040862e-06,4.542132643484239e-08,0.9984025559105413
single,0.16,0.95,316.22776601683796,0.0,0.0,1,3,2.432367958426132e-14,-2.4979150692328034e-14,-2.4868995751603507e-14,0.0,0.0,0.9994942914449116
pair,0.16,0.95,316.22776601683796,0.0,0.0,2,10,7.269861955724891e-15,1.3933298959045715e-14,1.4210854715202004e-14,4.7326561515926456e-07,0.0,0.9994942914449116
path3,0.16,0.95,316.22776601683796,2.0682101885707002e-11,6.540254875849758e-09,3,94,1.0335975716186514e-14,-4.896424490534034e-14,-4.002694955710783e-14,6.300868793635087e-07,4.661817524217161e-10,0.9994942914449118
triangle,0.16,0.95,316.22776601683796,2.119986046003341e-11,6.70398451314506e-09,3,127,6.109342801166594e-11,8.108589593102424e-13,-6.010002848566573e-11,9.451162275626798e-07,4.778519241920545e-10,0.9994942914449116
