motif,temperature,diffusion,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
triangle,823,10000.0,43.82552855077526,3,60,7.125830624219228e-12,1.3358203432289883e-12,-1.1112888387287967e-11,0.9931930935856501,0.0,0.0
path4,823,10000.0,34.65907432019604,4,248,1.212272893064903e-09,1.1732765869965078e-09,1.3303633750183508e-09,0.9931187329852875,0.0,0.0
star4,823,10000.0,58.178828227502876,4,247,5.843780253565412e-10,5.436504579847679e-10,9.39792244025739e-10,0.9889422701529368,0.0,0.0
square,823,10000.0,60.796376686913206,4,249,1.009155686399549e-08,-1.3105250218359288e-09,6.79506229062099e-09,0.991077828606564,0.0,0.0
path5,823,10000.0,68.90044366861056,5,1011,2.7206238570721657e-08,5.014214821130736e-09,2.7179851258551935e-08,0.9879420841899732,0.0,0.0
square_tail,823,10000.0,130.30992291162732,5,1012,1.8501861579237488e-09,-2.28283170145005e-10,1.222247192345094e-09,0.9818004738926591,0.0,0.0
rectangle6,823,10000.0,249.62421175406902,6,4079,1.3268386794694598e-07,2.328079062863253e-08,1.205075932375621e-07,0.9703774469271037,0.0,0.0
single,823,1000000.0,0.0,1,2,2.604883141213076e-13,0.0,0.0,0.0,0.0,0.0
pair,823,1000000.0,0.0,2,5,2.892482226200654e-12,6.039613253960852e-14,-3.211653165635653e-12,0.9990652002418093,0.0,0.0
path3,823,1000000.0,29.969508477879277,3,59,2.821796908896184e-11,1.6058265828178264e-12,2.927436071331613e-11,0.9932765885507457,0.0,0.0
triangle,823,1000000.0,43.82552855077231,3,60,1.3232916247213984e-11,-5.8548721426632255e-12,1.0800249583553523e-12,0.9931930935856508,0.0,0.0
path4,823,1000000.0,59.57757417756582,4,248,2.5893751251746304e-10,2.2069457372708712e-10,3.7277914088917896e-10,0.9888194260580886,0.0,0.0
star4,823,1000000.0,59.05346031141504,4,247,4.019477205800438e-09,-2.974871904370957e-09,6.633342763961991e-10,0.9888587835197835,0.0,0.0
square,823,1000000.0,75.95539660970704,4,249,6.188826124511422e-09,-9.742961992742494e-10,-6.394316187652294e-09,0.9890834834382543,0.0,0.0
path5,823,1000000.0,160.4853363361612,5,1011,2.9845402849575822e-09,1.8186483430326916e-09,-1.710759534034878e-09,0.9730929452090438,0.0,0.0
square_tail,823,1000000.0,189.57642228209204,5,1012,2.889402745185949e-09,1.0326175470254384e-09,1.599119059392251e-09,0.9740557787607466,0.0,0.0
rectangle6,823,1000000.0,387.41582372203135,6,4079,2.1073446481836164e-08,-2.5014287530211732e-08,-3.087870936724357e-08,0.9547905799403078,0.0,0.0
